dataset,comparison,LPIPS
coco_val2017,base,0.008965
coco_val2017,base,0.018318
coco_val2017,base,0.544439
coco_val2017,base,0.026445
coco_val2017,base,0.433028
coco_val2017,base,0.284608
coco_val2017,base,0.500576
coco_val2017,base,0.256414
coco_val2017,base,0.010822
coco_val2017,base,0.017802
coco_val2017,base,0.239795
coco_val2017,base,0.560028
coco_val2017,base,0.472567
coco_val2017,base,0.212828
coco_val2017,base,0.341215
coco_val2017,base,0.662557
coco_val2017,base,0.200118
coco_val2017,base,0.019443
coco_val2017,base,0.019760
coco_val2017,base,0.648732
coco_val2017,base,0.027534
coco_val2017,base,0.245449
coco_val2017,base,0.333446
coco_val2017,base,0.604348
coco_val2017,base,0.342723
coco_val2017,base,0.018866
coco_val2017,base,0.298591
coco_val2017,base,0.281565
coco_val2017,base,0.025135
coco_val2017,base,0.344885
coco_val2017,base,0.626366
coco_val2017,base,0.003067
coco_val2017,base,0.224613
coco_val2017,base,0.576837
coco_val2017,base,0.017795
coco_val2017,base,0.521411
coco_val2017,base,0.200941
coco_val2017,base,0.258833
coco_val2017,base,0.382081
coco_val2017,base,0.911059
coco_val2017,base,0.520942
coco_val2017,base,0.398198
coco_val2017,base,0.020833
coco_val2017,base,0.209953
coco_val2017,base,0.026204
coco_val2017,base,0.669229
coco_val2017,base,0.593512
coco_val2017,base,0.499923
coco_val2017,base,0.795461
coco_val2017,base,0.028604
coco_val2017,base,0.382529
coco_val2017,base,0.025454
coco_val2017,base,0.317452
coco_val2017,base,0.419365
coco_val2017,base,0.312093
coco_val2017,base,0.663115
coco_val2017,base,0.253441
coco_val2017,base,0.019112
coco_val2017,base,0.545991
coco_val2017,base,0.350100
coco_val2017,base,0.641666
coco_val2017,base,0.797310
coco_val2017,base,0.590247
coco_val2017,base,0.746802
coco_val2017,base,0.189573
coco_val2017,base,0.032492
coco_val2017,base,0.772079
coco_val2017,base,0.236633
coco_val2017,base,0.232536
coco_val2017,base,0.639814
coco_val2017,base,0.587726
coco_val2017,base,0.019197
coco_val2017,base,0.687679
coco_val2017,base,0.009693
coco_val2017,base,0.006608
coco_val2017,base,0.157991
coco_val2017,base,0.294333
coco_val2017,base,0.521760
coco_val2017,base,0.138390
coco_val2017,base,0.604684
coco_val2017,base,0.510666
coco_val2017,base,0.304860
coco_val2017,base,0.023197
coco_val2017,base,0.195639
coco_val2017,base,0.260870
coco_val2017,base,0.681867
coco_val2017,base,0.015123
coco_val2017,base,0.344066
coco_val2017,base,0.387178
coco_val2017,base,0.624340
coco_val2017,base,0.489771
coco_val2017,base,0.013847
coco_val2017,base,0.016414
coco_val2017,base,0.283065
coco_val2017,base,0.389370
coco_val2017,base,0.667792
coco_val2017,base,0.030649
coco_val2017,base,0.027696
coco_val2017,base,0.013980
coco_val2017,base,0.548869
coco_val2017,base,0.647389
coco_val2017,base,0.029163
coco_val2017,base,0.314753
coco_val2017,base,0.288389
coco_val2017,base,0.172295
coco_val2017,base,0.591704
coco_val2017,base,0.381502
coco_val2017,base,0.273953
coco_val2017,base,0.635212
coco_val2017,base,0.228419
coco_val2017,base,0.352670
coco_val2017,base,0.349896
coco_val2017,base,0.466237
coco_val2017,base,0.285922
coco_val2017,base,0.626210
coco_val2017,base,0.246865
coco_val2017,base,0.191181
coco_val2017,base,0.247175
coco_val2017,base,0.654966
coco_val2017,base,0.262174
coco_val2017,base,0.384113
coco_val2017,base,0.007957
coco_val2017,base,0.433833
coco_val2017,base,0.236416
coco_val2017,base,0.474819
coco_val2017,base,0.662410
coco_val2017,base,0.310143
coco_val2017,base,0.620477
coco_val2017,base,0.490246
coco_val2017,base,0.628516
coco_val2017,base,0.692296
coco_val2017,base,0.202836
coco_val2017,base,0.004371
coco_val2017,base,0.606302
coco_val2017,base,0.510620
coco_val2017,base,0.713213
coco_val2017,base,0.631413
coco_val2017,base,0.502717
coco_val2017,base,0.667257
coco_val2017,base,0.601519
coco_val2017,base,0.027232
coco_val2017,base,0.011721
coco_val2017,base,0.619419
coco_val2017,base,0.363724
coco_val2017,base,0.424307
coco_val2017,base,0.244953
coco_val2017,base,0.225603
coco_val2017,base,0.601169
coco_val2017,base,0.282666
coco_val2017,base,0.669784
coco_val2017,base,0.624508
coco_val2017,base,0.226977
coco_val2017,base,0.672272
coco_val2017,base,0.499092
coco_val2017,base,0.005047
coco_val2017,base,0.320372
coco_val2017,base,0.027442
coco_val2017,base,0.515828
coco_val2017,base,0.012161
coco_val2017,base,0.033038
coco_val2017,base,0.570913
coco_val2017,base,0.032380
coco_val2017,base,0.635792
coco_val2017,base,0.245153
coco_val2017,base,0.683606
coco_val2017,base,0.010519
coco_val2017,base,0.013173
coco_val2017,base,0.344693
coco_val2017,base,0.015944
coco_val2017,base,0.023040
coco_val2017,base,0.311040
