dataset,comparison,LPIPS
places_365_train,base,0.184721
places_365_train,base,0.648917
places_365_train,base,0.648571
places_365_train,base,0.612221
places_365_train,base,0.633520
places_365_train,base,0.352066
places_365_train,base,0.342724
places_365_train,base,0.576842
places_365_train,base,0.531879
places_365_train,base,0.756310
places_365_train,base,0.610416
places_365_train,base,0.539301
places_365_train,base,0.450109
places_365_train,base,0.454396
places_365_train,base,0.427658
places_365_train,base,0.381925
places_365_train,base,0.399552
places_365_train,base,0.819144
places_365_train,base,0.669475
places_365_train,base,0.566983
places_365_train,base,0.707789
places_365_train,base,0.614120
places_365_train,base,0.684205
places_365_train,base,0.468534
places_365_train,base,0.464287
places_365_train,base,0.571409
places_365_train,base,0.516416
places_365_train,base,0.496747
places_365_train,base,0.636810
places_365_train,base,0.515070
places_365_train,base,0.397137
places_365_train,base,0.331588
places_365_train,base,0.342967
places_365_train,base,0.382658
places_365_train,base,0.637361
places_365_train,base,0.270603
places_365_train,base,0.402088
places_365_train,base,0.351655
places_365_train,base,0.474511
places_365_train,base,0.568230
places_365_train,base,0.555157
places_365_train,base,0.559488
places_365_train,base,0.476260
places_365_train,base,0.491164
places_365_train,base,0.593804
places_365_train,base,0.255949
places_365_train,base,0.427803
places_365_train,base,0.288378
places_365_train,base,0.256530
places_365_train,base,0.269732
places_365_train,base,0.540230
places_365_train,base,0.358217
places_365_train,base,0.429112
places_365_train,base,0.493050
places_365_train,base,0.744924
places_365_train,base,0.741731
places_365_train,base,0.351104
places_365_train,base,0.730642
places_365_train,base,0.554820
places_365_train,base,0.635432
places_365_train,base,0.501565
places_365_train,base,0.321038
places_365_train,base,0.697703
places_365_train,base,0.658483
places_365_train,base,0.446280
places_365_train,base,0.319261
places_365_train,base,0.541812
places_365_train,base,0.313991
places_365_train,base,0.222554
places_365_train,base,0.590613
places_365_train,base,0.639899
places_365_train,base,0.210396
places_365_train,base,0.375521
places_365_train,base,0.574520
places_365_train,base,0.420618
places_365_train,base,0.451938
places_365_train,base,0.698115
places_365_train,base,0.529855
places_365_train,base,0.311113
places_365_train,base,0.443819
places_365_train,base,0.656861
places_365_train,base,0.677570
places_365_train,base,0.644166
places_365_train,base,0.477447
places_365_train,base,0.641226
places_365_train,base,0.658919
places_365_train,base,0.651974
places_365_train,base,0.727031
places_365_train,base,0.691482
places_365_train,base,0.242776
places_365_train,base,0.429686
places_365_train,base,0.324592
places_365_train,base,0.515547
places_365_train,base,0.728661
places_365_train,base,0.365602
places_365_train,base,0.420224
places_365_train,base,0.655698
places_365_train,base,0.537805
places_365_train,base,0.628015
places_365_train,base,0.596470
places_365_train,base,0.368445
places_365_train,base,0.679583
places_365_train,base,0.795138
places_365_train,base,0.337765
places_365_train,base,0.500974
places_365_train,base,0.353065
places_365_train,base,0.297027
places_365_train,base,0.522677
places_365_train,base,0.444588
places_365_train,base,0.531506
places_365_train,base,0.485807
places_365_train,base,0.480403
places_365_train,base,0.776456
places_365_train,base,0.720168
places_365_train,base,0.764388
places_365_train,base,0.357658
places_365_train,base,0.617661
places_365_train,base,0.447212
places_365_train,base,0.394350
places_365_train,base,0.305631
places_365_train,base,0.709403
places_365_train,base,0.319348
places_365_train,base,0.613013
places_365_train,base,0.341466
places_365_train,base,0.682869
places_365_train,base,0.639205
places_365_train,base,0.351503
places_365_train,base,0.485530
places_365_train,base,0.743593
places_365_train,base,0.725938
places_365_train,base,0.283608
places_365_train,base,0.617850
places_365_train,base,0.358414
places_365_train,base,0.561998
places_365_train,base,0.556832
places_365_train,base,0.279022
places_365_train,base,0.708753
places_365_train,base,0.657593
places_365_train,base,0.477297
places_365_train,base,0.243735
places_365_train,base,0.583040
places_365_train,base,0.589900
places_365_train,base,0.644419
places_365_train,base,0.331338
places_365_train,base,0.429624
places_365_train,base,0.640031
places_365_train,base,0.581177
places_365_train,base,0.405246
places_365_train,base,0.233954
places_365_train,base,0.463034
places_365_train,base,0.421483
places_365_train,base,0.606668
places_365_train,base,0.409437
places_365_train,base,0.534186
places_365_train,base,0.642705
places_365_train,base,0.321395
places_365_train,base,0.304004
places_365_train,base,0.385749
places_365_train,base,0.157897
places_365_train,base,0.419673
places_365_train,base,0.265338
places_365_train,base,0.396783
places_365_train,base,0.464705
places_365_train,base,0.596740
places_365_train,base,0.692808
places_365_train,base,0.647779
places_365_train,base,0.416404
places_365_train,base,0.682890
places_365_train,base,0.701380
places_365_train,base,0.258504
places_365_train,base,0.584477
places_365_train,base,0.419030
places_365_train,base,0.483716
places_365_train,base,0.395040
places_365_train,base,0.303476
places_365_train,base,0.332126
places_365_train,base,0.541620
places_365_train,base,0.544850
places_365_train,base,0.527116
places_365_train,base,0.509607
places_365_train,base,0.378676
places_365_train,base,0.170996
places_365_train,base,0.666592
places_365_train,base,0.242392
places_365_train,base,0.508772
places_365_train,base,0.213930
places_365_train,base,0.620648
places_365_train,base,0.430879
places_365_train,base,0.516614
places_365_train,base,0.563745
places_365_train,base,0.587607
places_365_train,base,0.535568
places_365_train,base,0.720198
places_365_train,base,0.632418
places_365_train,base,0.259434
places_365_train,base,0.356675
places_365_train,base,0.595419
places_365_train,base,0.346173
places_365_train,base,0.706687
places_365_train,base,0.688629
places_365_train,base,0.447573
places_365_train,base,0.527220
places_365_train,base,0.740934
places_365_train,base,0.641520
places_365_train,base,0.485865
places_365_train,base,0.318571
places_365_train,base,0.646011
places_365_train,base,0.375305
places_365_train,base,0.643964
places_365_train,base,0.365993
places_365_train,base,0.458957
places_365_train,base,0.479925
places_365_train,base,0.382283
places_365_train,base,0.434860
places_365_train,base,0.335932
places_365_train,base,0.754073
places_365_train,base,0.327945
places_365_train,base,0.686452
places_365_train,base,0.211781
places_365_train,base,0.580685
places_365_train,base,0.431244
places_365_train,base,0.701785
places_365_train,base,0.298663
places_365_train,base,0.602776
places_365_train,base,0.508412
places_365_train,base,0.661231
places_365_train,base,0.215312
places_365_train,base,0.390679
places_365_train,base,0.480975
places_365_train,base,0.747163
places_365_train,base,0.741512
places_365_train,base,0.381089
places_365_train,base,0.431578
places_365_train,base,0.872217
places_365_train,base,0.304607
places_365_train,base,0.380257
places_365_train,base,0.682963
places_365_train,base,0.437796
places_365_train,base,0.403587
places_365_train,base,0.686332
places_365_train,base,0.582775
places_365_train,base,0.638679
places_365_train,base,0.625135
places_365_train,base,0.660188
places_365_train,base,0.680398
places_365_train,base,0.630066
places_365_train,base,0.635010
places_365_train,base,0.418389
places_365_train,base,0.369895
places_365_train,base,0.229493
places_365_train,base,0.286776
places_365_train,base,0.738847
places_365_train,base,0.402454
places_365_train,base,0.527505
places_365_train,base,0.703901
places_365_train,base,0.654986
places_365_train,base,0.203018
places_365_train,base,0.361122
places_365_train,base,0.263543
places_365_train,base,0.324817
places_365_train,base,0.512310
places_365_train,base,0.216608
places_365_train,base,0.380473
places_365_train,base,0.479697
places_365_train,base,0.748952
places_365_train,base,0.699513
places_365_train,base,0.383459
places_365_train,base,0.566034
places_365_train,base,0.738653
places_365_train,base,0.710244
places_365_train,base,0.570227
places_365_train,base,0.306205
places_365_train,base,0.634226
places_365_train,base,0.522047
places_365_train,base,0.333653
places_365_train,base,0.696891
places_365_train,base,0.499405
places_365_train,base,0.462676
places_365_train,base,0.573988
places_365_train,base,0.653043
places_365_train,base,0.320928
places_365_train,base,0.582810
places_365_train,base,0.298079
places_365_train,base,0.636597
places_365_train,base,0.583235
places_365_train,base,0.250213
places_365_train,base,0.222706
places_365_train,base,0.642487
places_365_train,base,0.469620
places_365_train,base,0.665933
places_365_train,base,0.434279
places_365_train,base,0.808828
places_365_train,base,0.667582
places_365_train,base,0.683031
places_365_train,base,0.694288
places_365_train,base,0.442253
places_365_train,base,0.341622
places_365_train,base,0.292344
places_365_train,base,0.377894
places_365_train,base,0.713255
places_365_train,base,0.558928
places_365_train,base,0.512765
places_365_train,base,0.485938
places_365_train,base,0.541854
places_365_train,base,0.573456
places_365_train,base,0.269800
places_365_train,base,0.322127
places_365_train,base,0.391376
places_365_train,base,0.661974
places_365_train,base,0.584446
places_365_train,base,0.554864
places_365_train,base,0.383120
places_365_train,base,0.360489
places_365_train,base,0.312938
places_365_train,base,0.700557
places_365_train,base,0.500563
places_365_train,base,0.711466
places_365_train,base,0.477393
places_365_train,base,0.614300
places_365_train,base,0.518779
places_365_train,base,0.500394
places_365_train,base,0.294395
places_365_train,base,0.272420
places_365_train,base,0.396834
